~MMSI,Longitude,Latitude,Speed Over Ground (SOG),Course Over Ground (COG),Creation Time Local,Vessel Name,Call Sign,AIS Message Type,Time Stamp,Ship Type,Length,Beam,Destination
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:07,,,1,02,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:21:07,,,1,40,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:08,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:08,,,1,53,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:21:08,,,1,00,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:09,,,1,02,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:21:09,,,1,40,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:09,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:10,,,1,53,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:21:10,,,1,00,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:21:11,,,1,40,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:21:11,,,1,09,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:11,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:11,,,1,53,,,,
235081274,-0.1185,51.5093,0.2,360.0,13/03/2019 16:21:12,,,1,10,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:12,,,1,02,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:21:13,,,1,40,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:21:13,,,1,09,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:13,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:13,,,1,53,,,,
235081274,-0.1185,51.5093,0.2,360.0,13/03/2019 16:21:14,,,1,10,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:14,,,1,12,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:14,,,1,02,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:21:14,,,1,40,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:21:14,,,1,09,,,,
235078641,-0.1192,51.5063,4.4,26.9,13/03/2019 16:21:14,,,1,12,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:15,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:15,,,1,53,,,,
235057011,-0.1188,51.5074,10.4,41.7,13/03/2019 16:21:15,,,1,13,,,,
235052117,-0.1209,51.5063,6.1,214.1,13/03/2019 16:21:15,,,1,14,,,,
235054851,-0.1097,51.5103,2.4,41.6,13/03/2019 16:21:15,,,1,14,,,,
235081274,-0.1185,51.5093,0.2,360.0,13/03/2019 16:21:16,,,1,10,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:16,,,1,12,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:16,,,1,02,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:21:16,,,1,40,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:21:16,,,1,09,,,,
235078641,-0.1192,51.5063,4.4,26.9,13/03/2019 16:21:16,,,1,12,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:16,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:16,,,1,53,,,,
235057011,-0.1188,51.5074,10.4,41.7,13/03/2019 16:21:17,,,1,13,,,,
235052117,-0.1209,51.5063,6.1,214.1,13/03/2019 16:21:17,,,1,14,,,,
235054851,-0.1097,51.5103,2.4,41.6,13/03/2019 16:21:17,,,1,14,,,,
235081274,-0.1185,51.5093,0.2,360.0,13/03/2019 16:21:17,,,1,10,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:17,,,1,12,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:17,,,1,02,,,,
235078641,-0.1192,51.5063,4.4,26.9,13/03/2019 16:21:18,,,1,12,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:18,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:18,,,1,53,,,,
235053185,-0.1003,51.5102,8.6,292.8,13/03/2019 16:21:18,,,1,16,,,,
235057011,-0.1188,51.5074,10.4,41.7,13/03/2019 16:21:18,,,1,13,,,,
235054851,-0.1097,51.5103,2.4,41.6,13/03/2019 16:21:19,,,1,14,,,,
235081274,-0.1185,51.5093,0.2,360.0,13/03/2019 16:21:19,,,1,10,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:19,,,1,12,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:19,,,1,02,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:20,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:20,,,1,53,,,,
235053185,-0.1003,51.5102,8.6,292.8,13/03/2019 16:21:20,,,1,16,,,,
235057011,-0.1188,51.5074,10.4,41.7,13/03/2019 16:21:20,,,1,13,,,,
235054851,-0.1097,51.5103,2.4,41.6,13/03/2019 16:21:20,,,1,14,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:21,,,1,12,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:21,,,1,02,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:21,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:22,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:22,,,1,53,,,,
235053185,-0.1003,51.5102,8.6,292.8,13/03/2019 16:21:22,,,1,16,,,,
235057011,-0.1188,51.5074,10.4,41.7,13/03/2019 16:21:22,,,1,13,,,,
235054851,-0.1097,51.5103,2.4,41.6,13/03/2019 16:21:22,,,1,14,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:23,,,1,12,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:23,,,1,02,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:23,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:23,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:23,,,1,53,,,,
235053185,-0.1003,51.5102,8.6,292.8,13/03/2019 16:21:23,,,1,16,,,,
235057011,-0.1188,51.5074,10.4,41.7,13/03/2019 16:21:24,,,1,13,,,,
235054851,-0.1097,51.5103,2.4,41.6,13/03/2019 16:21:24,,,1,14,,,,
235054851,-0.1096,51.5104,1.6,30.6,13/03/2019 16:21:24,,,1,22,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:24,,,1,12,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:24,,,1,02,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:25,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:25,,,1,59,,,,
235078641,-0.1191,51.5065,4.3,28.4,13/03/2019 16:21:25,,,1,23,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:25,,,1,53,,,,
235053185,-0.1003,51.5102,8.6,292.8,13/03/2019 16:21:25,,,1,16,,,,
235057011,-0.1188,51.5074,10.4,41.7,13/03/2019 16:21:25,,,1,13,,,,
235052117,-0.1211,51.5059,6.5,194.2,13/03/2019 16:21:25,,,1,24,,,,
235054851,-0.1096,51.5104,1.6,30.6,13/03/2019 16:21:26,,,1,22,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:26,,,1,12,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:26,,,1,02,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:26,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:27,,,1,59,,,,
235078641,-0.1191,51.5065,4.3,28.4,13/03/2019 16:21:27,,,1,23,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:27,,,1,53,,,,
235053185,-0.1003,51.5102,8.6,292.8,13/03/2019 16:21:27,,,1,16,,,,
235057011,-0.1188,51.5074,10.4,41.7,13/03/2019 16:21:27,,,1,13,,,,
235052117,-0.1211,51.5059,6.5,194.2,13/03/2019 16:21:27,,,1,24,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:28,,,1,12,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:28,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:28,,,1,59,,,,
235078641,-0.1191,51.5065,4.3,28.4,13/03/2019 16:21:28,,,1,23,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:29,,,1,53,,,,
235053185,-0.1003,51.5102,8.6,292.8,13/03/2019 16:21:29,,,1,16,,,,
235052117,-0.1211,51.5059,6.5,194.2,13/03/2019 16:21:29,,,1,24,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:29,,,1,12,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:30,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:30,,,1,59,,,,
235078641,-0.1191,51.5065,4.3,28.4,13/03/2019 16:21:30,,,1,23,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:30,,,1,53,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:21:30,,,1,29,,,,
235053185,-0.1003,51.5102,8.6,292.8,13/03/2019 16:21:30,,,1,16,,,,
235054667,-0.1098,51.5100,9.1,270.9,13/03/2019 16:21:30,,,1,29,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:31,,,1,12,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:32,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:32,,,1,59,,,,
235078641,-0.1191,51.5065,4.3,28.4,13/03/2019 16:21:32,,,1,23,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:32,,,1,53,,,,
235081274,-0.1185,51.5094,0.1,360.0,13/03/2019 16:21:32,,,1,30,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:33,,,1,31,,,,
235093883,-0.1059,51.5103,0.1,93.7,13/03/2019 16:21:33,,,1,32,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:33,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:34,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:34,,,1,53,,,,
235081274,-0.1185,51.5094,0.1,360.0,13/03/2019 16:21:34,,,1,30,,,,
235053185,-0.1003,51.5102,8.6,292.8,13/03/2019 16:21:34,,,1,16,,,,
235054851,-0.1096,51.5104,2.2,356.2,13/03/2019 16:21:34,,,1,33,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:35,,,1,31,,,,
235093883,-0.1059,51.5103,0.1,93.7,13/03/2019 16:21:35,,,1,32,,,,
235057011,-0.1176,51.5081,11.0,51.7,13/03/2019 16:21:35,,,1,33,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:35,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:35,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:35,,,1,53,,,,
235081274,-0.1185,51.5094,0.1,360.0,13/03/2019 16:21:35,,,1,30,,,,
235053185,-0.1003,51.5102,8.6,292.8,13/03/2019 16:21:36,,,1,16,,,,
235054851,-0.1096,51.5104,2.2,356.2,13/03/2019 16:21:36,,,1,33,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:36,,,1,31,,,,
235057011,-0.1176,51.5081,11.0,51.7,13/03/2019 16:21:37,,,1,33,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:37,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:37,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:37,,,1,53,,,,
235081274,-0.1185,51.5094,0.1,360.0,13/03/2019 16:21:37,,,1,30,,,,
235053185,-0.1003,51.5102,8.6,292.8,13/03/2019 16:21:37,,,1,16,,,,
235054851,-0.1096,51.5104,2.2,356.2,13/03/2019 16:21:38,,,1,33,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:38,,,1,31,,,,
235057011,-0.1176,51.5081,11.0,51.7,13/03/2019 16:21:38,,,1,33,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:39,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:39,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:39,,,1,53,,,,
235081274,-0.1185,51.5094,0.1,360.0,13/03/2019 16:21:39,,,1,30,,,,
235053185,-0.1003,51.5102,8.6,292.8,13/03/2019 16:21:39,,,1,16,,,,
235054851,-0.1096,51.5104,2.2,356.2,13/03/2019 16:21:40,,,1,33,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:40,,,1,31,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:21:40,,,1,39,,,,
235057011,-0.1176,51.5081,11.0,51.7,13/03/2019 16:21:40,,,1,33,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:40,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:40,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:41,,,1,53,,,,
235081274,-0.1185,51.5094,0.1,360.0,13/03/2019 16:21:41,,,1,30,,,,
235054851,-0.1096,51.5104,2.2,356.2,13/03/2019 16:21:44,,,1,33,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:44,,,1,31,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:21:44,,,1,39,,,,
235057011,-0.1176,51.5081,11.0,51.7,13/03/2019 16:21:44,,,1,33,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:44,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:44,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:44,,,1,53,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:44,,,1,41,,,,
235081274,-0.1185,51.5094,0.1,360.0,13/03/2019 16:21:44,,,1,30,,,,
235054851,-0.1096,51.5104,2.2,356.2,13/03/2019 16:21:44,,,1,33,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:44,,,1,31,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:21:44,,,1,39,,,,
235057011,-0.1176,51.5081,11.0,51.7,13/03/2019 16:21:44,,,1,33,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:44,,,1,20,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:44,,,1,59,,,,
235052117,-0.1213,51.5054,5.7,189.8,13/03/2019 16:21:44,,,1,42,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:44,,,1,53,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:44,,,1,41,,,,
235081274,-0.1185,51.5094,0.1,360.0,13/03/2019 16:21:44,,,1,30,,,,
235054851,-0.1096,51.5104,2.2,356.2,13/03/2019 16:21:45,,,1,33,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:45,,,1,31,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:21:45,,,1,39,,,,
235057011,-0.1176,51.5081,11.0,51.7,13/03/2019 16:21:45,,,1,33,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:45,,,1,20,,,,
235057011,-0.1170,51.5084,11.4,53.2,13/03/2019 16:21:45,,,1,44,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:45,,,1,59,,,,
235078641,-0.1187,51.5069,4.4,33.7,13/03/2019 16:21:46,,,1,43,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:46,,,1,53,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:46,,,1,41,,,,
235081274,-0.1185,51.5094,0.1,360.0,13/03/2019 16:21:46,,,1,30,,,,
235054851,-0.1096,51.5104,2.2,356.2,13/03/2019 16:21:46,,,1,33,,,,
235053647,-0.1082,51.5091,5.9,79.8,13/03/2019 16:21:47,,,1,31,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:21:47,,,1,39,,,,
235057011,-0.1176,51.5081,11.0,51.7,13/03/2019 16:21:47,,,1,33,,,,
235081274,-0.1185,51.5093,0.3,360.0,13/03/2019 16:21:47,,,1,20,,,,
